WARN: Client connection error: Connection reset
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 2.999999999999999
ETR at step 2 = 6.000000000000002
ETR at step 3 = 9.999999999999996
ETR at step 4 = 16.000000000000004
ETR at step 5 = 19.000000000000007
ETR at step 6 = 18.999999999999996
ETR at step 7 = 19.00000000000001
ETR at step 8 = 19.000000000000007
ETR at step 9 = 19.000000000000007
ETR at step 10 = 19.000000000000007
ETR at step 11 = 19.0
ETR at step 12 = 18.999999999999993
ETR at step 13 = 18.999999999999993
ETR at step 14 = 18.999999999999986
ETR at step 15 = 18.999999999999993
ETR at step 16 = 18.999999999999996
ETR at step 17 = 19.000000000000004
ETR at step 18 = 18.0
ETR at step 19 = 17.999999999999996
ETR at step 20 = 17.999999999999996
ETR at step 21 = 17.0
ETR at step 22 = 16.999999999999996
ETR at step 23 = 16.999999999999993
ETR at step 24 = 17.000000000000007
ETR at step 25 = 17.0
ETR at step 26 = 16.999999999999996
ETR at step 27 = 17.0
ETR at step 28 = 16.999999999999993
ETR at step 29 = 18.0
ETR at step 30 = 19.0
ETR at step 31 = 19.0
ETR at step 32 = 19.0
ETR at step 33 = 20.0
ETR at step 34 = 20.0
ETR at step 35 = 21.000000000000007
ETR at step 36 = 21.0
ETR at step 37 = 21.0
ETR at step 38 = 21.000000000000004
ETR at step 39 = 22.0
ETR at step 40 = 21.999999999999996
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 4.000000000000003
ETR at step 2 = 10.000000000000004
ETR at step 3 = 14.999999999999995
ETR at step 4 = 18.000000000000007
ETR at step 5 = 20.00000000000001
ETR at step 6 = 21.999999999999993
ETR at step 7 = 26.0
ETR at step 8 = 29.000000000000004
ETR at step 9 = 31.999999999999993
ETR at step 10 = 38.00000000000001
ETR at step 11 = 40.99999999999999
ETR at step 12 = 41.99999999999999
ETR at step 13 = 42.0
ETR at step 14 = 43.0
ETR at step 15 = 42.99999999999999
ETR at step 16 = 43.0
ETR at step 17 = 43.00000000000001
ETR at step 18 = 43.0
ETR at step 19 = 43.0
ETR at step 20 = 42.99999999999999
ETR at step 21 = 43.0
ETR at step 22 = 42.99999999999999
ETR at step 23 = 43.000000000000014
ETR at step 24 = 43.0
ETR at step 25 = 43.0
ETR at step 26 = 43.99999999999999
ETR at step 27 = 45.0
ETR at step 28 = 44.999999999999986
ETR at step 29 = 45.99999999999999
ETR at step 30 = 46.00000000000001
ETR at step 31 = 46.00000000000001
ETR at step 32 = 46.0
ETR at step 33 = 46.99999999999999
ETR at step 34 = 49.0
ETR at step 35 = 52.99999999999999
ETR at step 36 = 57.0
ETR at step 37 = 60.99999999999999
ETR at step 38 = 65.0
ETR at step 39 = 67.99999999999999
ETR at step 40 = 74.0
ETR at step 0 = 4.440892098500626E-16
ETR at step 1 = 3.0000000000000027
